zipcode,county,,
98845,Palisades,,
98846,Pateros,,
98847,Peshastin,,
98848,Quincy,,
98849,Riverside,,
98850,Rock Island,,
98851,Soap Lake,,
98852,Stehekin,,
98853,Stratford,,
98855,Tonasket,,
98856,Twisp,,
98857,Warden,,
98858,Waterville,,
98859,Wauconda,,
98860,Wilson Creek,,
98862,Winthrop,,
98901,Yakima,,
98902,Yakima,,
98903,Yakima,,
98904,Yakima,,
98907,Yakima,,
98908,Yakima,,
98909,Yakima,,
98920,Brownstown,,
98921,Buena,,
98922,Cle Elum,,
98923,Cowiche,,
98925,Easton,,
98926,Ellensburg,,
98929,Goose Prairie,,
98930,Grandview,,
98932,Granger,,
98933,Harrah,,
98934,Kittitas,,
98935,Mabton,,
98936,Moxee,,
98937,Naches,,
98938,Outlook,,
98939,Parker,,
98940,Ronald,,
98941,Roslyn,,
98942,Selah,,
98943,South Cle Elum,,
98944,Sunnyside,,
98946,Thorp,,
98947,Tieton,,
98948,Toppenish,,
98950,Vantage,,
98951,Wapato,,
98952,White Swan,,
98953,Zillah,,
99001,Airway Heights,,
99003,Chattaroy,,
99004,Cheney,,
99005,Colbert,,
99006,Deer Park,,
99008,Edwall,,
99009,Elk,,
99011,Fairchild Air Force Base,,
99012,Fairfield,,
99013,Ford,,
99014,Four Lakes,,
99016,Greenacres,,
99017,Lamont,,
99018,Latah,,
99019,Liberty Lake,,
99020,Marshall,,
99021,Mead,,
99022,Medical Lake,,
99023,Mica,,
99025,Newman Lake,,
99026,Nine Mile Falls,,
99027,Otis Orchards,,
99029,Reardan,,
99030,Rockford,,
99031,Spangle,,
99032,Sprague,,
99033,Tekoa,,
99034,Tumtum,,
99036,Valleyford,,
99037,Veradale,,
99039,Waverly,,
99040,Wellpinit,,
99101,Addy,,
99102,Albion,,
99103,Almira,,
99104,Belmont,,
99105,Benge,,
99107,Boyds,,
99109,Chewelah,,
99110,Clayton,,
99111,Colfax,,
99113,Colton,,
99114,Colville,,
99115,Coulee City,,
99116,Coulee Dam,,
99117,Creston,,
99118,Curlew,,
99119,Cusick,,
99121,Danville,,
99122,Davenport,,
99123,Electric City,,
99124,Elmer City,,
99125,Endicott,,
99126,Evans,,
99128,Farmington,,
99129,Fruitland,,
99130,Garfield,,
99131,Gifford,,
99133,Grand Coulee,,
99134,Harrington,,
99135,Hartline,,
99136,Hay,,
99137,Hunters,,
99138,Inchelium,,
99139,Ione,,
99140,Keller,,
99141,Kettle Falls,,
99143,Lacrosse,,
99144,Lamona,,
99146,Laurier,,
99147,Lincoln,,
99148,Loon Lake,,
99149,Malden,,
99150,Malo,,
99151,Marcus,,
99152,Metaline,,
99153,Metaline Falls,,
99154,Mohler,,
99155,Nespelem,,
99156,Newport,,
99157,Northport,,
99158,Oakesdale,,
99159,Odessa,,
99160,Orient,,
99161,Palouse,,
99163,Pullman,,
99164,Pullman,,
99165,Pullman,,
99166,Republic,,
99167,Rice,,
99169,Ritzville,,
99170,Rosalia,,
99171,Saint John,,
99173,Springdale,,
99174,Steptoe,,
99176,Thornton,,
99179,Uniontown,,
99180,Usk,,
99181,Valley,,
99185,Wilbur,,
99201,Spokane,,
99202,Spokane,,
99203,Spokane,,
99204,Spokane,,
99205,Spokane,,
99206,Spokane,,
99207,Spokane,,
99208,Spokane,,
99209,Spokane,,
99210,Spokane,,
99211,Spokane,,
99212,Spokane,,
99213,Spokane,,
99214,Spokane,,
99215,Spokane,,
99216,Spokane,,
99217,Spokane,,
99218,Spokane,,
99219,Spokane,,
99220,Spokane,,
99223,Spokane,,
99224,Spokane,,
99228,Spokane,,
99251,Spokane,,
99252,Spokane,,
99256,Spokane,,
99258,Spokane,,
99260,Spokane,,
99299,Spokane,,
99301,Pasco,,
99302,Pasco,,
99320,Benton City,,
99321,Beverly,,
99322,Bickleton,,
99323,Burbank,,
99324,College Place,,
99326,Connell,,
99328,Dayton,,
99329,Dixie,,
99330,Eltopia,,
99333,Hooper,,
99335,Kahlotus,,
99336,Kennewick,,
99337,Kennewick,,
99338,Kennewick,,
99341,Lind,,
99343,Mesa,,
99344,Othello,,
99345,Paterson,,
99346,Plymouth,,
99347,Pomeroy,,
99348,Prescott,,
99349,Mattawa,,
99350,Prosser,,
99352,Richland,,
99353,West Richland,,
99354,Richland,,
99356,Roosevelt,,
99357,Royal City,,
99359,Starbuck,,
99360,Touchet,,
99361,Waitsburg,,
99362,Walla Walla,,
99363,Wallula,,
99371,Washtucna,,
99401,Anatone,,
99402,Asotin,,
99403,Clarkston,,
